ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
1970,DACITE,0.53,16.41,19,98,,3.1,12,25,3,2.3,3.9
1971,DACITE,0.52,16.59,18,101,,3,11,22,2.8,2.1,4
1973,DACITE,0.83,14.99,46,136,0,3.21,14.5,31.6,5.79,4.43,2.16
1974,DACITE,0.52,16.18,18,100,1,3.2,11,22,2.7,2.2,4.2
1975,DACITE,0.84,15.03,36.3,91.9,,2.1,9.21,20.3,4.31,3.5,1.3
1976,DACITE,0.46,17.96,15.36,121,4,5.61,12.73,24.63,,1.51,1.68
1978,ANDESITE,0.91,14.21,46.1,70.9,,1.7,5.5,12.4,3.38,3.78,0.3
1979,ANDESITE,0.96,16.39,39,175,,6.3,,39.81,6.24,5.14,3.88
1981,DACITE,0.68,17.41,29.8,310,,8.8,,55.1,,3.21,4.32
1982,DACITE,0.82,15.03,46.2,139,,3.27,14.6,32.2,5.79,4.46,2.17
1983,DACITE,0.52,16.57,17,102,12,3.1,11,20,,2,4.3
1984,DACITE,0.36,18.13,8.5,76,,0.98,4.43,9.73,,0.87,1.01
1985,DACITE,0.75,15.62,43.4,140,,3.38,15.2,32.9,5.78,4.37,2.25
1987,DACITE,0.65,15.75,26.9,120,,3.06,10.64,22.34,3.77,2.7,3.332
1988,DACITE,0.69,15.73,22.7,146.5,,3.7,10.65,24.44,,1.95,2.76
1989,DACITE,0.52,16.55,17,97,,3.1,10,19,2.6,2.1,4
1990,DACITE,0.46,17.67,16.29,119,,6.13,12.97,25.24,2.84,1.47,1.65
1992,DACITE,0.760699413,16.61029755,37.37933389,176.8264316,,4.868258992,15.00258018,32.1795042,5.618211533,3.612137913,5.154029838
1993,ANDESITE,0.49,16.65,16.6,57.9,,4.05,17.2,31.5,3.09,1.62,5.83
1995,DACITE,0.756820738,16.50034282,38.22025447,184.299879,,5.033059358,16.05892844,33.71354745,5.726604102,3.677428254,5.391809206
1996,ANDESITE,0.76,16.02,32,152,,6.9,16.94,35.57,3.97,3.02,6.1
1997,DACITE,0.753940042,16.62214744,36.44400456,182.8068135,,5.002940279,15.60359534,33.33811913,5.587645831,3.626371344,5.312275092
1998,DACITE,0.34,17.87,8.1,75,,1.06,5.25,11.79,,0.86,1.33
2003,DACITE,0.75,15.47,43.1,141,,3.37,,32.6,,4.26,2.22
2004,DACITE,0.61,17.23,30.2,318,,8.85,,58.4,4.61,3.27,4.91
2005,DACITE,0.4,16.86,15.04,92.47,,2.299,10.68,22.21,2.329,1.746,3.093
2006,DACITE,0.68,15.69,27.1,120,,3.1,,21.9,3.75,2.77,2.817
2007,DACITE,0.65,15.56,32.8,92.9,,1.19,6.24,11.8,,3.06,0.74
2009,DACITE,0.65,15.6,43.1,93.9,,1.23,,12.9,3.87,3.84,0.77
2010,DACITE,0.789964346,16.14185742,40.35473464,182.1965945,,5.625557978,,31.40105665,6.01774408,3.837087865,4.690263709
2011,DACITE,0.721837331,16.17876737,35.16,194,,5.87,16.76,34.84,5.37,3.45,5.84
2012,DACITE,0.732073207,16.15161516,35.06,194,11,5.79,16.73,34.71,5.4,3.44,5.81
2013,DACITE,0.798,16.54,43.1,323,,16.7,35.48,81.74,8.52,4.24,17
2014,ANDESITE,0.9,16.36,37.5,282,6,16.3,35.08,79.5,7.98,3.86,13
2016,DACITE,0.63,16.13,27.1,107.7,4,3.21,10.3,22.43,3.62,2.7,2.65
2017,DACITE,0.732665844,16.56270947,37.21402697,192.6831028,,5.337800959,15.97537835,33.87852964,5.644004266,3.635841857,6.048662313
2018,ANDESITE,0.9,14.7,32.7,166,,7.02,16.2,36,,3.57,4.87
