pillar_id;area;heterogeneidad_geologica;calidad_roca;tiempo_solicitacion;altura_extraida;densidad_energia_sismica;resistencia_traccion;modulo_general_deformacion
NS_873;343.6448;Media;Calidad mala;3;323;33.47018869;0.289;16.6
NS_874;344.7416;Baja;Calidad muy mala;7;295;20.78196405;0.245;15.47
NS_875;333.4082;Media;Calidad muy mala;7;296;24.12420791;0.245;15.47
NS_876;342.2136;Media;Calidad muy mala;7;296;29.14584276;0.18949;13.3406
NS_877;343.3631;Baja;Calidad muy mala;7;291;36.61729715;0.20291;13.8554
NS_878;347.5192;Media;Calidad mala;6.666666667;298;46.8232599;0.28108;16.3966
NS_879;347.5192;Baja;Calidad mala;6;303;57.04497221;0.289;16.6
NS_880;347.5192;Baja;Calidad mala;5.333333333;0;60.79349475;0.289;16.6
NS_881;347.5192;Baja;Calidad mala;5;0;58.30101154;0.289;16.6
NS_882;347.5192;Baja;Calidad mala;4.333333333;0;53.24283877;0.289;16.6
NS_883;346.4292;Baja;Calidad mala;4;315;45.7866209;0.289;16.6
NS_884;336.4997;Baja;Calidad mala;3;315;38.7506929;0.289;16.6
NS_885;317.7189;Baja;Calidad mala;3;328;20.13121446;0.289;16.6
NS_886;300.9917;Baja;Calidad mala;2;315;37.97843726;0.289;16.6
NS_887;311.9187;Media;Calidad mala;2;320;33.0423536;0.289;16.6
NS_888;273.5186;Baja;Calidad mala;2;324;28.55197358;0.289;16.6
NS_889;312.9558;Baja;Calidad mala;2;325;25.16857482;0.289;16.6
NS_890;316.4105;Baja;Calidad mala;2;325;22.18862031;0.289;16.6
NS_891;307.4293;Baja;Calidad mala;2;325;19.81703329;0.289;16.6
NS_892;206.8871;Media;Calidad mala;2;0;35.96912587;0.289;16.6
NS_893;225.3181;Baja;Calidad mala;2;0;31.48810516;0.289;16.6
NS_894;194.6764;Baja;Calidad mala;2;0;27.35850165;0.289;16.6
NS_895;221.8008;Baja;Calidad mala;2;0;24.12509673;0.289;16.6
NS_896;210.2929;Baja;Calidad mala;2;0;21.42065039;0.289;16.6
NS_897;209.2113;Baja;Calidad mala;2;0;19.14048963;0.289;16.6
NS_898;389.6476;Media;Calidad mala;2;0;33.82597253;0.289;16.6
NS_899;376.8502;Baja;Calidad mala;2;0;29.84546693;0.289;16.6
NS_900;364.4181;Baja;Calidad mala;2;0;26.21552565;0.289;16.6
NS_901;371.9013;Baja;Calidad mala;2;0;23.23235294;0.289;16.6
NS_902;393.8812;Baja;Calidad mala;2;0;20.64524751;0.289;16.6
NS_903;398.9899;Baja;Calidad mala;2;0;18.53521373;0.289;16.6
NS_904;322.7614;Baja;Calidad mala;2;0;31.82516422;0.289;16.6
NS_905;324.6967;Baja;Calidad mala;2;0;28.42844814;0.289;16.6
NS_906;310.5182;Baja;Calidad mala;2;0;25.29031715;0.289;16.6
NS_907;317.1506;Baja;Calidad mala;2;0;22.38439014;0.289;16.6
NS_908;326.2946;Baja;Calidad mala;2;0;19.99831156;0.289;16.6
NS_909;308.5807;Baja;Calidad mala;2;0;17.95393681;0.289;16.6
NS_910;298.5704;Baja;Calidad mala;1;0;30.42181538;0.289;16.6
NS_911;276.2566;Baja;Calidad mala;1;0;27.35849172;0.289;16.6
NS_912;299.2041;Baja;Calidad mala;2;0;24.48969574;0.289;16.6
NS_913;298.0534;Baja;Calidad mala;2;0;21.84362009;0.289;16.6
NS_914;290.1832;Baja;Calidad mala;2;0;19.54062521;0.289;16.6
NS_915;277.8991;Baja;Calidad mala;2;0;17.63029752;0.289;16.6
NS_916;359.2245;Baja;Calidad mala;0;0;28.41944236;0.289;16.6
NS_917;350.8656;Baja;Calidad mala;0;0;25.77840627;0.289;16.6
NS_918;364.6598;Baja;Calidad mala;0;0;23.15684604;0.289;16.6
NS_919;350.9499;Baja;Calidad mala;0;0;20.77102099;0.289;16.6
NS_920;142.8138;Media;Calidad mala;13.66666667;287;20.40224817;0.289;16.6
NS_921;110.3258;Alta;Calidad muy mala;3;348;23.62293935;0.2575;15.559
NS_922;117.6851;Baja;Calidad mala;6.666666667;355;22.01265836;0.289;16.6
NS_923;170.063;Baja;Calidad muy mala;5;334;25.08542192;0.205;13.824
