Date Fixed;X;Y;Z;Location Error;Moment;Energy
06-03-10;1154.9;654.16;2669.228731;12;1.51E+09;1.24E+04
07-03-10;1437.82;-464.56;2730.228731;13;9.75E+09;1.05E+04
07-03-10;-1348.89;624.52;2816.778731;332;9.57E+08;4.51E+04
08-03-10;1044.05;112.49;2607.368731;8;8.44E+10;2.98E+05
08-03-10;-688.91;801.06;1526.858731;14;1.63E+09;1.06E+04
09-03-10;-1137.15;2328.83;1821.568731;1036;7.61E+11;1.51E+04
09-03-10;1706.46;48.01;2510.998731;12;7.34E+08;3.77E+04
09-03-10;1763.56;632.59;2940.188731;7;1.22E+09;1.51E+04
09-03-10;1522.89;473.28;3197.878731;261;1.23E+09;1.54E+04
09-03-10;3127.08;647.01;3053.188731;360;1.59E+09;1.02E+05
09-03-10;1225.48;728.71;2718.188731;5;1.26E+09;2.49E+04
10-03-10;711.92;1136.85;2483.098731;11;4.38E+08;3.04E+04
10-03-10;1259.21;781.45;2749.848731;31;9.86E+08;1.65E+04
10-03-10;1242.9;793.3;2759.418731;10;2.69E+07;1.22E+04
10-03-10;1312.11;682.42;2784.518731;11;4.90E+07;2.96E+04
10-03-10;1904;456.67;2965.468731;14;7.23E+09;1.74E+04
10-03-10;771.09;1071.64;1791.118731;8;6.06E+10;4.24E+06
10-03-10;1198.97;127.51;2599.968731;7;5.80E+09;1.12E+04
11-03-10;1990.1;1188.35;2514.458731;2;5.21E+08;1.38E+04
11-03-10;1108.85;61.56;2683.418731;10;1.03E+11;6.76E+04
11-03-10;1576.88;-284.41;2828.068731;19;1.68E+11;4.01E+05
11-03-10;1594.78;-308.51;2806.638731;21;1.84E+10;1.10E+04
12-03-10;1197.68;130.94;2604.968731;13;9.19E+09;2.15E+04
12-03-10;1883.72;492.8;3128.418731;13;9.53E+08;1.12E+04
13-03-10;1259.73;154.55;2600.268731;7;7.28E+09;1.70E+04
13-03-10;1799.52;437.33;3120.838731;29;1.01E+09;1.00E+04
13-03-10;242.48;1873.91;1630.678731;18;6.65E+08;2.78E+04
14-03-10;1254.68;7.55;2564.818731;8;9.67E+10;3.82E+05
14-03-10;1164.58;26.75;2623.548731;15;4.77E+10;5.83E+04
15-03-10;1207.54;173.07;2783.958731;199;1.24E+10;8.36E+04
16-03-10;698.29;651.28;2675.168731;9;8.74E+09;2.62E+04
16-03-10;668.18;735.55;2697.538731;9;2.05E+11;5.55E+06
16-03-10;1266.03;159.03;2599.038731;5;1.08E+10;2.47E+04
16-03-10;1250.42;723.4;2765.488731;49;5.15E+11;8.21E+06
16-03-10;1712.11;651.33;2439.238731;6;2.87E+08;1.80E+04
17-03-10;1918.73;476.54;2999.738731;14;5.54E+10;8.13E+04
17-03-10;2376.05;623.33;3121.918731;19;8.43E+10;4.76E+04
18-03-10;1896.52;656.96;2710.248731;7;4.00E+09;9.33E+04
19-03-10;545.64;472.04;2442.408731;8;4.12E+09;1.31E+04
20-03-10;1298.97;150.17;2593.868731;7;7.65E+09;1.07E+04
21-03-10;745.11;817.15;2509.878731;7;4.21E+09;1.20E+04
21-03-10;787.47;-428.65;2618.438731;14;1.25E+11;3.57E+05
21-03-10;1280.74;147.77;2606.058731;10;6.24E+09;1.48E+04
21-03-10;1125.71;-920.91;2871.858731;57;4.58E+08;1.58E+04
22-03-10;686.29;1236.84;2504.258731;9;3.74E+08;2.25E+04
22-03-10;687.4;1234.99;2495.508731;10;7.88E+08;6.42E+05
22-03-10;1063.51;635.94;2651.568731;12;9.75E+10;4.25E+05
23-03-10;1682.69;818.9;3035.928731;14;4.08E+09;2.19E+04
23-03-10;1010.92;611.84;3497.108731;132;2.12E+09;2.18E+04
23-03-10;294.14;869.41;2667.888731;14;3.12E+10;2.43E+05
23-03-10;288.29;864.48;2668.848731;14;9.36E+09;8.12E+04
23-03-10;286.16;865.4;2665.748731;12;6.67E+09;5.81E+04
