x,y,z,area,frec_fracturas,sigma_z,tiraje_prom
1296.0231,216.1108,2346,299.7789,0.7180000000000001,11.395325,123.447
1324.9988,200.1726,2346,347.3198,0.67,11.339144,123.509
1354.9988,182.8478,2346,347.0996,3.07,11.435732,131.234
1385.0015,165.5263,2346,347.1385,3.07,11.716574,143.421
1415.0015,148.2107,2346,347.4058,3.07,12.497832,150.064
1443.6479,135.0437,2346,308.4705,3.07,13.746409,150.939
1206.6845,256.0674,2346,518.0846,3.07,10.490681,128.848
1235.0,234.8166,2346,347.5447,3.07,10.670244,128.792
1265.0,217.4961,2346,347.5389,3.07,10.726834,124.418
1295.0,200.1755,2346,347.5331,0.67,11.366296,121.708
1324.0245,183.1954,2346,320.3778,0.91,11.604478,123.143
1355.0,165.5345,2346,347.5216,3.07,11.404776,131.11
1385.0,148.2139,2346,347.5159,3.07,11.613894,143.822
1412.8537,133.2825,2346,263.6883,3.07,12.109553,150.365
1444.991,120.1871,2346,264.8429,3.07,13.372069,151.56
1176.9273,253.1113,2346,394.0115,3.07,11.035821,130.456
1205.0,234.816,2346,347.5182,3.07,10.537116,128.992
1235.0,217.4956,2346,347.5182,3.07,10.766645,125.102
1265.0,200.1752,2346,347.5182,3.07,10.734241,121.665
1295.0,182.8547,2346,347.5182,0.67,11.343471,122.006
1325.9521,165.211,2346,320.9761,1.03,11.729744,124.206
1355.0,148.2139,2346,347.5182,3.07,11.454708,130.416
1382.8495,133.2693,2346,264.3978,3.07,11.498384,141.43
1413.6376,117.6929,2346,308.8002,3.07,12.208368,149.785
1175.0,234.8159,2346,347.5182,2.9675,11.062359,131.294
1205.0,217.4955,2346,347.5182,3.07,10.607454,128.587
1235.0,200.1751,2346,347.5182,3.07,10.804725,122.773
1264.0233,183.1961,2346,320.3424,3.07,10.695924,121.992
1295.0,165.5343,2346,347.5182,0.8620000000000001,11.508359,121.976
1325.0,148.2138,2346,347.5182,1.27,11.623,124.122
1355.0,130.8934,2346,347.5182,3.07,11.544654,129.256
1384.8005,116.0702,2346,337.6002,3.07,11.655068,140.914
1150.2132,222.1736,2346,362.4596,0.915,10.920211,131.253
1175.0,217.4955,2346,347.5182,2.5575,11.124364,131.9
1205.0,200.175,2346,347.5182,3.07,10.68769,128.711
1235.0,182.8546,2346,347.5182,3.07,10.824574,122.058
1265.9521,165.2109,2346,320.9761,3.07,10.601426,121.704
1295.0,148.2138,2346,347.5182,1.27,11.518667,122.285
1322.8039,133.3058,2346,263.0667,1.75,11.415016,124.372
1353.1758,112.913,2346,344.1771,3.07,11.558713,128.134
1175.0,200.175,2346,347.5182,2.045,11.15005,133.514
1204.0233,183.196,2346,320.3424,3.07,11.583614,128.522
1235.0,165.5341,2346,347.5182,3.07,10.879264,122.755
1265.0,148.2137,2346,347.5182,3.07,10.641264,122.654
1292.7231,133.4966,2346,254.5414,2.11,11.466578,123.151
1323.6802,117.7172,2346,308.6465,2.59,11.317492,124.39
1144.96,202.5583,2346,360.2373,0.915,10.877794,133.064
1175.0,182.8545,2346,347.5182,1.5325,11.154637,133.499
1205.9523,165.2109,2346,320.965,3.07,11.705735,128.004
1235.0,148.2136,2346,347.5182,3.07,10.799206,124.411
1265.0,130.8932,2346,347.5182,3.07,10.805824,124.421
