id_pilar,x,y,z,heterogeneidad_geologica,litologia_dominante,proximadad_de_fallas,condicion_de_frente,num_singularidades_geometricas,area_pilar,frec_fracturas,altura_extraible_promedio,carga_vertical_pre_mineria,carga_vertical_transicion,estado_pilar
277,1185.54143544,-46.60916456000001,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,347.4686,3.07,293,13.552458,53.53824839795826,0
278,1215.52343544,-63.909264560000025,1125.0,homogenea,complejos de rocas maficas,1,plano,0,346.9947,3.07,289,15.290983,61.219993145780364,0
279,1245.50383544,-81.22506456000002,1125.0,homogenea,complejos de rocas maficas,1,plano,0,346.5932,3.07,284,18.613834,74.38985240373046,1
280,1037.87203544,22.089835439999973,1125.0,heterogenea,complejos de rocas maficas,1,concavo,1,411.2457,3.07,282,10.998468,42.3996685423453,1
281,1066.19573544,1.667335439999988,1125.0,homogenea,porfido dioritico,1,concavo,0,269.2102,0.8140000000000001,286,11.413044,44.408060904115686,1
282,1096.06173544,-12.69596456000002,1125.0,homogenea,porfido dioritico,1,convexo,0,323.3559,0.67,292,11.373344,45.95479776120549,1
283,1125.54413544,-29.304264560000007,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.2899,3.07,297,11.473206,46.35006285590172,1
284,1155.51683544,-46.59886456000001,1125.0,homogenea,complejos de rocas maficas,0,plano,1,293.8207,3.07,299,11.720387,46.552962119685006,1
285,1185.54143544,-63.928664560000016,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5475,3.07,297,12.835124,51.063654285275355,0
286,1213.36973544,-78.83086456000001,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,262.9228,3.07,292,14.198794,57.71532133072239,0
287,1244.13193544,-101.23386456,1125.0,homogenea,complejos de rocas maficas,1,plano,1,452.7101,3.07,284,17.807822,71.23298076163982,1
288,1007.85493544,20.04323543999999,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,253.29,3.07,280,10.646755,43.1656752683072,1
289,1034.55563544,4.835535439999973,1125.0,poco heterogenea,complejos de rocas maficas,1,plano,0,284.4768,3.07,283,10.680527,42.66295285785954,1
290,1066.56453544,-13.347764560000002,1125.0,homogenea,porfido dioritico,1,plano,0,299.7789,0.7180000000000001,288,11.395325,45.89622796477771,1
291,1095.54023544,-29.285964560000025,1125.0,heterogenea,porfido dioritico,1,convexo,0,347.3198,0.67,295,11.339144,45.88996031975669,1
292,1125.54023544,-46.61076456000001,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,347.0996,3.07,302,11.435732,44.74477898468366,1
293,1155.54293544,-63.93226456000002,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.1385,3.07,303,11.716574,47.151956714183505,1
294,1185.54293544,-81.24786456000001,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.4058,3.07,300,12.497832,49.497786009746335,1
295,1214.18933544,-94.41486456,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,308.4705,3.07,293,13.746409,55.64784175965159,1
296,977.22593544,26.608835440000007,1125.0,homogenea,complejos de rocas maficas,1,plano,1,518.0846,3.07,277,10.490681,42.262907334497584,1
297,1005.54143544,5.3580354399999806,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,347.5447,3.07,280,10.670244,42.24782409682829,1
298,1035.54143544,-11.96246456,1125.0,heterogenea,complejos de rocas maficas,1,plano,0,347.5389,3.07,284,10.726834,42.71331425513491,1
299,1065.54143544,-29.28306456000001,1125.0,homogenea,porfido dioritico,1,concavo,0,347.5331,0.67,291,11.366296,44.75525405470821,1
300,1094.56593544,-46.26316456000001,1125.0,heterogenea,porfido dioritico,1,concavo,1,320.3778,0.9100000000000001,299,11.604478,44.43593547181898,1
301,1125.54143544,-63.924064560000005,1125.0,homogenea,complejos de rocas maficas,1,plano,0,347.5216,3.07,306,11.404776,45.27106817610789,1
302,1155.54143544,-81.24466456000002,1125.0,homogenea,complejos de rocas maficas,2,plano,0,347.5159,3.07,307,11.613894,46.8710463880634,1
303,1183.39513544,-96.17606456,1125.0,homogenea,complejos de rocas maficas,1,plano,0,263.6883,3.07,303,12.109553,48.15846030244782,1
304,1215.53243544,-109.27146456,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,264.8429,3.07,294,13.372069,54.83468978238591,1
305,947.46873544,23.652735439999987,1125.0,homogenea,complejos de rocas maficas,1,plano,1,394.0115,3.07,276,11.035821,43.77309943667114,0
